RouteID,Mode,No_of_Trips,Allocated_Kms,Average km/bus

1,BUS,70,1598,266.33

7,BUS,165,3439,245.64

9A,BUS,160,4192,262

AC1,BUS,93,2464,273.78

15,BUS,60,1830,305

32,BUS,46,1684,280.67

28,BUS,80,2414,301.75

14,BUS,88,4285,329.62

26,BUS,78,2440,305

24,BUS,60,1446,289.2

10B,BUS,27,596,298

23A,BUS,12,246,246

1A,BUS,34,714,238

3A,BUS,198,2970,212.14

AC2,BUS,138,3864,241.5

11,BUS,36,972,243

6A,BUS,42,936,234

3,BUS,132,2772,231

34,BUS,68,1624,232

AC8,BUS,54,1272,254.4

AC7,BUS,91,1948,243.5

30,BUS,48,1200,300

16,BUS,88,3840,349.1

27,BUS,30,1152,288

25A,BUS,8,272,272

25B,BUS,6,250,250

RBP-2,BUS,78,234,117

