RouteID,Mode,ServiceType,RouteLength(KM),No_of_Buses,No_of_Stops

1,BUS,MIDI,24,6,28

7,BUS,Low-Floor,21,14,32

9A,BUS,Low-Floor,28,16,35

AC1,BUS,Low-Floor,32,9,25

15,BUS,MIDI,32,6,20

32,BUS,Low-Floor,42,6,40

28,BUS,MIDI,31,8,32

14,BUS,Low-Floor,47,13,33

26,BUS,Low-Floor,34,8,25

24,BUS,MIDI,25,5,28

10B,BUS,MIDI,22,2,24

23A,BUS,MIDI,17,1,18

1A,BUS,MIDI,21,3,37

3A,BUS,MIDI,15,14,21

AC2,BUS,MIDI,32,16,36

11,BUS,MIDI,27,4,29

6A,BUS,MIDI,26,4,38

3,BUS,MIDI,21,12,32

34,BUS,MIDI,28,7,30

AC8,BUS,MIDI,23,5,23

AC7,BUS,MIDI,25,8,29

30,BUS,MIDI,25,4,19

16,BUS,MIDI,42,11,28

27,BUS,MIDI,27,4,48

25A,BUS,MIDI,34,1,29

25B,BUS,MIDI,38,1,31

RBP-2,BUS,MIDI,3,2,6

